AutoScalingGroupName,LaunchTemplateName,LaunchConfigurationName,MinSize,MaxSize,DesiredSize,LoadBalancerTargetGroup,AvailabilityZone,VPC,Tags,LoadBalancerName,CreatedDate
test-kishore,demo-temp1,,0,3,,0,['ap-south-1a'],subnet-082f87e6a1e515fad,[],[],2022-07-16 05:19:45.081000+00:00
test22-launch,,test22,1,1,,0,['ap-south-1a'],subnet-082f87e6a1e515fad,[],[],2022-07-17 06:05:22.503000+00:00
